Date,Portfolio
2023-06-05,0.08758740358565233
2023-06-06,0.08724270475219562
2023-06-07,0.08348906218229467
2023-06-08,0.0839532270411877
2023-06-09,0.08355323473174522
2023-06-12,0.08354292082516818
2023-06-13,0.08391138485254727
2023-06-14,0.08390338664423735
2023-06-15,0.08327248131599359
2023-06-16,0.08302015630206963
2023-06-19,0.08310465819716913
2023-06-20,0.08349773313980256
2023-06-21,0.08400598157480804
2023-06-22,0.08343643275664554
2023-06-23,0.0834520102986037
2023-06-26,0.08266737327786033
2023-06-27,0.08251119046500377
2023-06-28,0.08226585893927253
2023-06-29,0.0810362530342978
2023-06-30,0.08124386718715243
2023-07-03,0.08093126683395967
2023-07-04,0.08085953178468319
2023-07-05,0.08095306147136211
2023-07-06,0.08290950255479637
2023-07-07,0.0824274010102688
2023-07-10,0.08232282897270757
2023-07-11,0.08272632020522046
2023-07-12,0.08304095692981306
2023-07-13,0.0755732305802289
2023-07-14,0.07196809000953355
2023-07-17,0.07219163056153456
2023-07-18,0.07102370851242101
2023-07-19,0.07062802602954305
2023-07-20,0.07047010323786443
2023-07-21,0.07013443865716969
2023-07-24,0.0688007420651429
2023-07-25,0.06916326977522462
2023-07-26,0.06955679802265285
2023-07-27,0.07180234404385281
2023-07-28,0.07187173873098986
2023-07-31,0.07186699799877698
2023-08-01,0.0709662007513467
2023-08-02,0.0722150069153632
2023-08-03,0.07246787950427117
2023-08-04,0.07232894917763293
2023-08-07,0.07232888572615724
2023-08-08,0.07196767239018818
2023-08-09,0.07205002902866896
2023-08-10,0.07222066357021056
2023-08-11,0.07306793346562264
2023-08-14,0.07314981975656516
2023-08-15,0.07347802429165394
2023-08-16,0.07362713603236391
2023-08-17,0.07341000407319627
2023-08-18,0.07394997131612721
2023-08-21,0.07394716697513776
2023-08-22,0.07414216968573417
2023-08-23,0.07430679616565364
2023-08-24,0.07418300816025807
2023-08-25,0.07454328124712724
2023-08-28,0.07491149663255402
2023-08-29,0.07382192923189887
2023-08-30,0.07262693569224825
2023-08-31,0.0722794089687511
2023-09-01,0.07237475320757851
2023-09-04,0.07234433560794022
2023-09-05,0.07222464966429902
2023-09-06,0.07167925195870355
2023-09-07,0.0723888123548565
2023-09-08,0.07130738903396115
2023-09-11,0.07129371766537047
2023-09-12,0.07126030229926465
2023-09-13,0.0712158809355021
2023-09-14,0.07248317510795745
2023-09-15,0.07248498809660242
2023-09-18,0.073369601122733
2023-09-19,0.07340047880885536
2023-09-20,0.07331553903671201
2023-09-21,0.07486087315173814
2023-09-22,0.07439785254030538
2023-09-25,0.07440476603978263
2023-09-26,0.07481696713252023
2023-09-27,0.07243049255700848
2023-09-28,0.0721748048234244
2023-09-29,0.07125521105680306
2023-09-30,0.07123895934723701
2023-10-02,0.07136673601281733
2023-10-03,0.07121781676048237
2023-10-04,0.07272357566103163
2023-10-05,0.07002687944046807
2023-10-06,0.07001224347925285
2023-10-09,0.069826397530397
2023-10-10,0.07140971887892575
2023-10-11,0.07110446131035889
2023-10-12,0.07133324975555354
2023-10-13,0.07155530514907202
2023-10-16,0.07099944750257271
2023-10-17,0.07099897722886826
2023-10-18,0.07149598839932299
2023-10-19,0.0718140392627456
2023-10-20,0.07372884266357956
2023-10-23,0.07390025623817036
2023-10-24,0.07407163266698542
2023-10-25,0.0739952488751134
2023-10-26,0.07459291618193059
2023-10-27,0.07462233980503218
2023-10-30,0.07436211562666405
2023-10-31,0.0744804013308106
2023-11-01,0.0758013629183706
2023-11-02,0.07743408178195112
2023-11-03,0.07780611509663486
2023-11-06,0.07778291721225818
2023-11-07,0.07789495942189634
2023-11-08,0.07482283763303063
2023-11-09,0.07481496524996856
2023-11-10,0.07472181503293641
2023-11-13,0.07436793184943612
2023-11-14,0.07434360901559808
2023-11-15,0.07483557099407571
2023-11-16,0.07504006099914078
2023-11-17,0.07449746479659032
2023-11-20,0.0745374086211775
2023-11-21,0.07414148241796399
2023-11-22,0.07562349669241664
2023-11-23,0.07560628700697233
2023-11-24,0.07579152256975105
2023-11-27,0.07509659419558241
2023-11-28,0.07528534366254906
2023-11-29,0.07261349387881588
2023-11-30,0.07266629181673746
2023-12-01,0.0732981577039842
2023-12-04,0.0732979812583538
2023-12-05,0.07176492950310186
2023-12-06,0.0719587563252204
2023-12-07,0.07204978400577627
2023-12-08,0.07232930648699462
2023-12-11,0.07201042279800779
2023-12-12,0.07188174228495178
2023-12-13,0.0716937932275983
2023-12-14,0.07098202525474376
2023-12-15,0.07115753573130285
2023-12-18,0.0708787246827213
2023-12-19,0.07050015333767817
2023-12-20,0.06975735169828357
2023-12-21,0.06928518188566242
2023-12-22,0.06928119773807045
2023-12-26,0.06872991248667285
2023-12-27,0.06856156478195119
2023-12-28,0.06857912268696185
2023-12-29,0.06809667273030866
2023-12-31,0.06719905081711829
2024-01-02,0.06698602031825372
2024-01-03,0.06813541221774937
2024-01-04,0.06806466270948125
2024-01-05,0.06809186818260138
2024-01-08,0.0681634636690895
2024-01-09,0.06815818563231461
2024-01-10,0.06818152615488988
2024-01-11,0.06728033146119651
2024-01-12,0.06734611511535951
2024-01-15,0.06733904065291063
2024-01-16,0.0673607065944449
2024-01-17,0.0692654656438273
2024-01-18,0.06865276276626563
2024-01-19,0.06868799647122978
2024-01-22,0.06831262711343923
2024-01-23,0.06839170428700082
2024-01-24,0.06989688180407955
2024-01-25,0.06719421551032538
2024-01-26,0.06717570340897785
2024-01-29,0.0672409340611141
2024-01-30,0.06637480592901966
2024-01-31,0.06707581486832669
2024-02-01,0.06675499406959412
2024-02-02,0.06710626715134795
2024-02-05,0.06721569035032227
2024-02-06,0.06720790373966275
2024-02-07,0.06676345637960877
2024-02-08,0.06470996318630588
2024-02-09,0.06468375364413725
2024-02-12,0.06465259914681987
2024-02-13,0.06570898168989474
2024-02-14,0.06451181463491948
2024-02-15,0.06440994834058593
2024-02-16,0.06442223236680367
2024-02-19,0.0640717071516205
2024-02-20,0.06486573128147873
2024-02-21,0.06484969842950651
2024-02-22,0.06670001394631432
2024-02-23,0.06594391352789121
2024-02-26,0.06334640054002176
2024-02-27,0.06239883557311224
2024-02-28,0.0625511440566993
2024-02-29,0.0622312158408007
2024-03-01,0.06129267966900788
2024-03-04,0.06090331971866688
2024-03-05,0.06188538107974707
2024-03-06,0.061605479886633514
2024-03-07,0.06036975756057195
