,US,EU,EM,Tech,EU HY,Me A Ee
US,1.0,0.44988884033704685,0.2569038644705625,0.8476126665543765,0.509018230172322,0.40019643337233707
EU,0.44988884033704685,1.0,0.5450464260113561,0.5193307509400908,0.621107725530923,0.509090606341183
EM,0.2569038644705625,0.5450464260113561,1.0,0.42167693605651596,0.5031161450679534,0.5344370179642796
Tech,0.8476126665543765,0.5193307509400908,0.42167693605651596,1.0,0.5800734082189363,0.5256696091049946
EU HY,0.509018230172322,0.621107725530923,0.5031161450679534,0.5800734082189363,1.0,0.48075279617202415
Me A Ee,0.40019643337233707,0.509090606341183,0.5344370179642796,0.5256696091049946,0.48075279617202415,1.0
