,US,EU,EM,Tech,EU HY,Me A Ee
US,0.023399337312491005,0.011698548596276826,0.011404520546873714,0.017116504577330598,0.001889510485818762,0.010193851690338235
EU,0.011698548596276826,0.022663980395719294,0.009696477304074316,0.016605729941914265,0.0021943655536430504,0.009543052579110497
EM,0.011404520546873714,0.009696477304074316,0.02963091172009853,0.012440375428907281,0.0020443528394670975,0.010980023671491364
Tech,0.017116504577330598,0.016605729941914265,0.012440375428907281,0.026907547918349498,0.002260430562049806,0.009677174732776097
EU HY,0.001889510485818762,0.0021943655536430504,0.0020443528394670975,0.002260430562049806,0.0013049397023135228,0.001772416061430663
Me A Ee,0.010193851690338235,0.009543052579110497,0.010980023671491364,0.009677174732776097,0.001772416061430663,0.014981375631219205
