,US,EU,EM,Tech,EU HY,Me A Ee
US,1.0,0.5079765476681041,0.43325233803786506,0.6821147542671482,0.34193568245218225,0.5444419928447879
EU,0.5079765476681041,1.0,0.3741473196600491,0.6720374590923583,0.40367596925099136,0.5178996553891507
EM,0.43325233803786506,0.3741473196600491,1.0,0.44087985690725984,0.32902255828006344,0.5211081765231856
Tech,0.6821147542671482,0.6720374590923583,0.44087985690725984,1.0,0.38130504428034145,0.4817613162361167
EU HY,0.34193568245218225,0.40367596925099136,0.32902255828006344,0.38130504428034145,1.0,0.4015477713791324
Me A Ee,0.5444419928447879,0.5178996553891507,0.5211081765231856,0.4817613162361167,0.4015477713791324,1.0
