Date,US~EU,US~EM,US~Tech,US~EU HY,US~Me A Ee,EU~EM,EU~Tech,EU~EU HY,EU~Me A Ee,EM~Tech,EM~EU HY,EM~Me A Ee,Tech~EU HY,Tech~Me A Ee,EU HY~Me A Ee
2023-06-05,0.49649780689188633,0.4250452855402501,0.6490211569036074,0.30100302589126093,0.23619459755041752,0.1546946597753161,0.6860113801499236,0.34568778512626613,0.15382496455138003,0.3292425211067028,0.2925437088272583,0.29587253307510447,0.380148177055386,0.1492400371082131,0.3503279229072456
2023-06-06,0.49770636692257925,0.41121061734420716,0.6507698950648912,0.2978459500827815,0.2400493320634611,0.157714586826208,0.6860006317453419,0.34606973843173944,0.15590126697452797,0.341795896100757,0.29366919570780636,0.3219216873336939,0.3818909812992358,0.15434010551362726,0.35493590260123203
2023-06-07,0.4847275943363965,0.39134405903537955,0.6595101774255994,0.2524465242349909,0.21964825267121316,0.13479512084594836,0.6938454642642204,0.30177940577970996,0.13665689671162515,0.30976433981786294,0.2850896005007503,0.3279169543455516,0.2629082504832697,0.11488897822284773,0.3668941795417684
2023-06-08,0.4759288384568085,0.40525551639815605,0.6607900852301183,0.24599730991573596,0.22232763796752367,0.14104176006239816,0.6913629090079763,0.30026001576047084,0.13665073777887596,0.31888601322158827,0.29651626699853006,0.3320022877890181,0.26111003248913695,0.11713441165115056,0.36743528003188414
2023-06-09,0.47735840984493777,0.43062612765355884,0.6732398511179403,0.23578978523637548,0.22173876157155895,0.11048017275487361,0.682858642757128,0.2990524734290615,0.1301650732936874,0.29643446074105995,0.28539128184933843,0.324923211885886,0.25494759264728467,0.10897182649104498,0.36568804333091903
2023-06-12,0.4762111805483664,0.43104441559692996,0.6690171373971041,0.2350166481617485,0.2188570995168368,0.10909423705535565,0.6841135437886967,0.30149127850305385,0.13577671540999378,0.2933592401571137,0.28584128064764797,0.31900060113305345,0.2592261004000086,0.11920662387840517,0.3695341603618629
2023-06-13,0.48366260515886583,0.43886184113470045,0.6762670556227421,0.2366631898296189,0.23090392987316644,0.11325330412939058,0.6858964725008541,0.3020784853761351,0.13794267481750966,0.2989464283643738,0.2865036240898668,0.32069261825399087,0.2595014536382327,0.12375020270985973,0.37105363970958805
2023-06-14,0.48894283397433075,0.44392404611758823,0.6796094751597185,0.23923462439187734,0.22283914759469917,0.10454527114548999,0.6837680991754612,0.3000863925376163,0.15116098771688985,0.2988823805188318,0.28266772521136097,0.31609312757841995,0.25808289949438884,0.1236702637120467,0.3763427980973025
2023-06-15,0.4835604323004391,0.4434445025468102,0.6769149221786668,0.2339016118228032,0.22524911615536689,0.10196820635798219,0.6777765267841416,0.2928239111217696,0.1538041401237821,0.29860099514430755,0.2814873825434591,0.31605318686607997,0.2489878044876406,0.12860320447597706,0.3817905000140963
2023-06-16,0.4796683605301507,0.4436967074128414,0.6761822499374046,0.2410112171949811,0.21653867301513585,0.10038545114634093,0.6765780724599835,0.3007007325315143,0.14400517614056912,0.2983492276492416,0.280769288847844,0.3173130630351133,0.2517349756264835,0.12449489591100242,0.38742697731463005
