,US,EU,EM,Tech,EU HY,Me A Ee
US,0.020618051636766818,0.007617597603018292,0.004895288935152373,0.01934966516519445,0.002449926904337112,0.006249255494500675
EU,0.007617597603018292,0.013862611776403048,0.008473808410825656,0.00980297993751843,0.002446083787360971,0.006504499821313171
EM,0.004895288935152373,0.008473808410825656,0.01738189223488472,0.008942429106322258,0.0022094305958711277,0.007637484152250892
Tech,0.01934966516519445,0.00980297993751843,0.008942429106322258,0.025295319627589234,0.00312176319712256,0.009127892513839844
EU HY,0.002449926904337112,0.002446083787360971,0.0022094305958711277,0.00312176319712256,0.0011094996415133783,0.0017361718390970517
Me A Ee,0.006249255494500675,0.006504499821313171,0.007637484152250892,0.009127892513839844,0.0017361718390970517,0.011746507972911643
