,MarketValue,Invested,Equal
US,0.26513608366960023,0.27439986669140726,0.16666666666666666
EU,0.16230718271161146,0.152766819854794,0.16666666666666666
EM,0.13492264716588084,0.12267341048385567,0.16666666666666666
Tech,0.10141534827677948,0.09238385478697883,0.16666666666666666
EU HY,0.2567792855141252,0.2740753915809567,0.16666666666666666
Me A Ee,0.0794394526620028,0.08370065660200768,0.16666666666666666
